hp	knockback amount	movement speed	attack power	attack recoil	attack range	price	respawn time	hitbox position	hitbox size	target red	idk	attack type	first frame attack	min layer appearance	max layer appearance	target floating	target black	target metal	target white	target angel	target alien	target zombie	strong	knockback chance	freeze chance	freeze time	slow chance	slow time	resistant	massive damage	crit chance	targets only	extra money	base destroyer	wave chance	wave level	weaken chance	weaken time	weaken reduction	strenghten hp	strenghten %	survive chance	metal	begin range	end range	wave immune	waveblock	knockback immune	freeze immune	slow immune	weaken immune	zombie kill	witch killer	target witch	stops permanently after attacking	boss wave immune	attacks before die	suicide on hit	2nd attack damage	3rd attack damage	2nd attack timeframe	3rd attack timeframe	1st hit uses ability	2nd hit uses ability	3rd hit uses ability	additional spawn animation	soul animation	unique spawn anim	gudetama soul	barrier break	warp chance	warp time	min warp	max warp	warp immune	target eva	eva killer	target relic	curse resist	insane resist	insane damage	savage chance	savage damage +%	dodge chance	dodge time	surge chance	surge upper range	surge other range	surge duration	Poison immunity	Surge immunity	Curse chance	Curse Time	lilwave	fullswing	japname	rarity	enname	backswing	tba
100	3	10	8	15	140	50	75	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	ネコ	0	Cat	10	37
100	3	10	8	15	140	50	75	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ネコビルダー	0	Macho Cat	8	37
200	3	10	16	15	140	50	75	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ネコモヒカン	0	Mohawk Cat	8	37
400	1	8	2	30	110	100	120	0	320	0	0	1	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	タンクネコ	0	Tank Cat	8	67
400	1	8	2	30	110	100	120	0	320	0	0	1	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ネコカベ	0	Wall Cat	8	67
600	1	8	4	30	110	100	120	0	320	0	0	1	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ゴムネコ	0	Eraser Cat	8	67
200	3	12	25	10	150	200	105	0	320	1	0	0	8	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	バトルネコ	0	Axe Cat	8	27
200	3	12	25	10	150	200	105	0	320	1	0	0	8	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	勇者ネコ	0	Brave Cat	8	27
400	3	12	50	10	150	200	150	0	320	1	0	0	8	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	暗黒ネコ	0	Dark Cat	9	27
400	3	10	100	60	350	400	165	0	320	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	キモネコ	0	Gross Cat	8	127
