hp	knockback amount	movement speed	attack power	attack recoil	attack range	price	respawn time	hitbox position	hitbox size	target red	idk	attack type	first frame attack	min layer appearance	max layer appearance	target floating	target black	target metal	target white	target angel	target alien	target zombie	strong	knockback chance	freeze chance	freeze time	slow chance	slow time	resistant	massive damage	crit chance	targets only	extra money	base destroyer	wave chance	wave level	weaken chance	weaken time	weaken reduction	strenghten hp	strenghten %	survive chance	metal	begin range	end range	wave immune	waveblock	knockback immune	freeze immune	slow immune	weaken immune	zombie kill	witch killer	target witch	stops permanently after attacking	boss wave immune	attacks before die	suicide on hit	2nd attack damage	3rd attack damage	2nd attack timeframe	3rd attack timeframe	1st hit uses ability	2nd hit uses ability	3rd hit uses ability	additional spawn animation	soul animation	unique spawn anim	gudetama soul	barrier break	warp chance	warp time	min warp	max warp	warp immune	target eva	eva killer	target relic	curse resist	insane resist	insane damage	savage chance	savage damage +%	dodge chance	dodge time	140	144	148	14C	150	154	fullswing	japname	rarity	enname	backswing	tba	dps
100	3	10	8	15	140	50	75	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	ネコ	0	Cat	10	37	6,486486486
100	3	10	8	15	140	50	75	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ネコビルダー	0	Macho Cat	8	37	6,486486486
200	3	10	16	15	140	50	75	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ネコモヒカン	0	Mohawk Cat	8	37	12,97297297
400	1	8	2	30	110	100	120	0	320	0	0	1	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	タンクネコ	0	Tank Cat	8	67	0,8955223881
400	1	8	2	30	110	100	120	0	320	0	0	1	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ネコカベ	0	Wall Cat	8	67	0,8955223881
600	1	8	4	30	110	100	120	0	320	0	0	1	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ゴムネコ	0	Eraser Cat	8	67	1,791044776
200	3	12	25	10	150	200	105	0	320	1	0	0	8	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	バトルネコ	0	Axe Cat	8	27	27,77777778
200	3	12	25	10	150	200	105	0	320	1	0	0	8	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	勇者ネコ	0	Brave Cat	8	27	27,77777778
400	3	12	50	10	150	200	150	0	320	1	0	0	8	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	暗黒ネコ	0	Dark Cat	9	27	55,55555556
400	3	10	100	60	350	400	165	0	320	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	キモネコ	0	Gross Cat	8	127	23,62204724
400	3	10	100	60	350	400	165	0	320	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	美脚ネコ	0	Sexy Legs Cat	6	125	24
800	3	10	200	60	350	400	245	0	320	0	0	0	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	ムキあしネコ	0	Macho Leg Cat	6	125	48
500	5	30	13	0	140	500	135	0	320	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	ウシネコ	0	Cow Cat	4	10	39
500	5	30	13	0	140	500	135	0	320	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	ネコキリン	0	Giraffe Cat	4	10	39
1000	5	30	26	0	140	500	195	0	320	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	ネコライオン	0	Lion Cat	4	10	78
300	4	10	140	20	170	650	125	0	320	0	0	1	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	ネコノトリ	0	Bird Cat	4	49	85,71428571
300	4	10	165	20	170	650	125	0	320	0	0	1	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	ネコＵＦＯ	0	UFO Cat	8	57	86,84210526
600	4	10	330	20	170	650	185	0	320	0	0	1	18	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	120	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	天空のネコ	0	The Flying Cat	8	57	173,6842105
700	3	10	180	22	150	800	195	0	320	1	0	0	10	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	ネコフィッシュ	0	Fish Cat	8	53	101,8867925
700	3	10	180	22	150	800	195	0	320	1	0	0	10	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	ネコクジラ	0	Whale Cat	8	53	101,8867925
1400	3	10	360	22	150	800	255	0	320	1	0	0	10	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	ネコ島	0	Island Cat	8	53	203,7735849
800	3	10	350	60	400	1000	285	0	320	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	ネコトカゲ	0	Lizard Cat	4	129	81,39534884
800	3	10	350	60	400	1000	285	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ネコドラゴン	0	Dragon Cat	8	127	82,67716535
900	3	10	400	60	400	1000	385	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	ネコキングドラゴン	0	King Dragon Cat	8	127	94,48818898
1000	1	8	280	25	150	1300	405	0	320	0	0	1	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	巨神ネコ	0	Titan Cat	8	67	125,3731343
1000	1	8	280	25	150	1300	405	0	320	0	0	1	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	ネコダラボッチ	0	Mythical Titan Cat	14	67	125,3731343
